repo_name,creation_date,main_language,stars_count,merged_pr_count,release_version_count,last_modified_date,total_issue_count,closed_issue_count,issue_resolution_ratio,repository_age,days_since_last_modification
pipenv,2017-01-20T00:44:02Z,Python,24780,1528,102,2024-08-22T10:42:35Z,4219,3957,0.9378999762977008,7,0
diffusers,2022-05-30T16:04:02Z,Python,24776,3675,74,2024-08-22T22:00:22Z,3943,3482,0.8830839462338321,2,-1
feather,2014-05-28T19:49:55Z,JavaScript,24758,113,53,2024-08-22T15:38:48Z,634,247,0.38958990536277605,10,0
awesome-vscode,2016-02-07T23:02:45Z,JavaScript,24737,243,0,2024-08-22T20:28:08Z,49,26,0.5306122448979592,8,-1
table,2016-10-20T17:25:08Z,TypeScript,24729,915,262,2024-08-22T22:37:52Z,2413,2257,0.9353501864898467,8,-1
localForage,2013-10-31T00:10:06Z,JavaScript,24674,269,26,2024-08-22T21:20:15Z,716,505,0.7053072625698324,11,-1
awesome-swift,2014-07-10T14:04:09Z,Ruby,24668,1436,0,2024-08-22T17:45:17Z,132,131,0.9924242424242424,10,0
EventBus,2012-07-16T16:55:40Z,Java,24660,31,7,2024-08-22T10:09:20Z,581,483,0.8313253012048193,12,0
openzeppelin-contracts,2016-08-01T20:54:54Z,JavaScript,24657,2155,88,2024-08-22T22:28:16Z,1896,1699,0.8960970464135021,8,-1
react-admin,2016-07-13T07:58:54Z,TypeScript,24650,4752,357,2024-08-22T17:09:51Z,4505,4435,0.9844617092119867,8,0
vscodium,2018-08-13T14:26:58Z,Shell,24642,434,191,2024-08-22T21:06:51Z,1255,1152,0.9179282868525896,6,-1
micro,2016-03-11T02:06:28Z,Go,24641,739,36,2024-08-22T22:13:30Z,2257,1462,0.6477625166149756,8,-1
TrackersListCollection,2019-10-03T15:55:07Z,Unknown,24639,5,0,2024-08-22T22:00:13Z,0,0,,5,-1
awesome-actions,2018-10-17T17:53:45Z,Unknown,24636,439,0,2024-08-22T21:27:33Z,41,26,0.6341463414634146,6,-1
rust-course,2018-08-07T05:01:21Z,Rust,24629,710,0,2024-08-22T17:02:16Z,190,139,0.7315789473684211,6,0
create-t3-app,2022-05-24T13:31:01Z,TypeScript,24617,1065,133,2024-08-22T15:30:53Z,658,623,0.9468085106382979,2,0
devtools,2014-09-29T03:52:07Z,TypeScript,24603,284,89,2024-08-22T19:01:20Z,1598,1135,0.7102628285356696,10,0
docker_practice,2014-09-05T04:06:39Z,Go,24598,261,15,2024-08-22T19:55:58Z,211,207,0.981042654028436,10,-1
idiomatic.js,2011-05-25T17:48:59Z,Unknown,24568,114,0,2024-08-22T22:23:55Z,83,48,0.5783132530120482,13,-1
iTerm2-Color-Schemes,2011-04-01T04:01:46Z,Shell,24561,303,0,2024-08-22T21:28:44Z,108,85,0.7870370370370371,13,-1
