name,url,ts_ignore,any,specific_types,qty_js_files,qty_ts_files,TLOC,JS_LOC,tsconfig_path,strict,strictNullChecks,strictBindCallApply,strictFunctionTypes,strictPropertyInitialization,noImplicitAny,noImplicitThis,alwaysStrict,releases,age,created_at,prev_year_commit,prev_year_ts_ignore,prev_year_any,prev_year_specific_types,prev_year_TLOC,prev_year_JS_LOC,prev_year_tsconfig_path,prev_year_strict,prev_year_strictNullChecks,prev_year_strictBindCallApply,prev_year_strictFunctionTypes,prev_year_strictPropertyInitialization,prev_year_noImplicitAny,prev_year_noImplicitThis,prev_year_alwaysStrict
vue,https://github.com/vuejs/vue,13,478,2293,72,508,34030,1894,repos\vue\tsconfig.json,1,1,1,1,1,0,0,1,249,11,2013-07-29T03:24:51Z,223a9e9f2ecf013e6ee5dbf98cbaa8cadf9daf50,13,476,2273,33902,1894,repos\vue\tsconfig.json,1,1,1,1,1,0,0,1
ant-design,https://github.com/ant-design/ant-design,17,277,4783,14,1272,154980,770,repos\ant-design\tsconfig.json,1,1,1,1,1,1,1,1,675,9,2015-04-24T15:37:24Z,8dc11ee7f3828a9bbf92c6fbd56c2bec1582e2b7,8,256,4322,139157,872,repos\ant-design\tsconfig.json,0,1,0,0,0,1,0,0
puppeteer,https://github.com/puppeteer/puppeteer,0,40,2445,106,468,53319,2243,repos\puppeteer\tsconfig.base.json,1,1,1,1,1,1,1,1,459,7,2017-05-09T22:16:13Z,f7cf05ce4a6795ba9e0d1edf95e75aa74639d0ea,0,48,2181,49403,2676,repos\puppeteer\tsconfig.base.json,1,1,1,1,1,1,1,1
angular,https://github.com/angular/angular,56,7638,33380,1690,10076,844754,61455,repos\angular\packages\tsconfig.json,1,1,1,1,1,1,1,1,374,10,2014-09-18T16:12:01Z,9cac4eea5b692dd55e43ebcf8237d78777b0deb0,3,7599,30677,719776,47908,repos\angular\packages\tsconfig.json,1,1,1,1,1,1,1,1
vscode,https://github.com/microsoft/vscode,20,3453,107587,498,8612,1428220,57127,repos\vscode\src\tsconfig.json,0,0,0,0,0,0,0,0,146,9,2015-09-03T20:23:38Z,7cf8a165f6832dc597df9670086b24b726519715,39,3222,91840,1091008,59474,repos\vscode\src\tsconfig.json,0,0,0,0,0,0,0,0
excalidraw,https://github.com/excalidraw/excalidraw,21,245,3355,56,440,100770,3237,repos\excalidraw\tsconfig.json,1,1,1,1,1,1,1,1,13,4,2020-01-02T01:04:43Z,3c96943db3b1bf73726f2a04e55f7c79f74dd6db,17,203,2553,66606,2650,repos\excalidraw\tsconfig.json,1,1,1,1,1,1,1,1
tailwindcss,https://github.com/tailwindlabs/tailwindcss,0,44,1087,12,254,24338,24,repos\tailwindcss\packages\tsconfig.base.json,1,1,1,1,1,1,1,1,241,7,2017-10-06T14:59:14Z,817c466c1e9dd530026df7e905090d50adf37974,17,11,219,18211,16347,not_found,0,0,0,0,0,0,0,0
realworld,https://github.com/gothinkster/realworld,0,16,46,0,88,1463,0,not_found,0,0,0,0,0,0,0,0,0,8,2016-02-26T20:49:53Z,eb437b6cf7d030dbc13c8064ddbcbb1a55043b87,3,23,338,10746,330,repos\realworld\tsconfig.base.json,0,0,0,0,0,0,0,0
ChatGPT-Next-Web,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,52,222,1052,4,206,34804,99,repos\ChatGPT-Next-Web\tsconfig.json,1,1,1,1,1,1,1,1,74,1,2023-03-10T18:27:54Z,d0a1d910d4dae62351ae0273562cc6067e3e6ed9,2,84,501,14972,34,repos\ChatGPT-Next-Web\tsconfig.json,1,1,1,1,1,1,1,1
ui,https://github.com/shadcn-ui/ui,2,10,1163,92,330,172905,1335,repos\ui\tsconfig.json,1,1,1,1,1,1,1,1,31,1,2023-01-04T12:43:27Z,d250109cc4d06a5160512f341a8637a746fcfa80,1,0,321,37030,451,repos\ui\tsconfig.json,1,1,1,1,1,1,1,1
mermaid,https://github.com/mermaid-js/mermaid,76,212,2436,170,584,55957,20551,not_found,0,0,0,0,0,0,0,0,139,10,2014-11-01T23:52:32Z,fadae38bec28715ff65af9edb2f44711afdc92d5,46,87,1478,39899,23952,not_found,0,0,0,0,0,0,0,0
storybook,https://github.com/storybookjs/storybook,43,1300,6202,646,3128,255310,71510,repos\storybook\code\tsconfig.json,1,1,1,1,1,1,1,1,1000,8,2016-03-18T04:23:44Z,f5b7a043757d6302d882f3412a0ce604bfedc950,18,1101,5074,219996,72907,repos\storybook\code\tsconfig.json,1,1,1,1,1,1,1,1
code-server,https://github.com/coder/code-server,0,31,426,2,96,6354,12,repos\code-server\tsconfig.json,1,1,1,1,1,1,1,1,166,5,2019-02-27T16:50:41Z,11e6e656c0a0261bba4c1cf9cda6552c60e98f5f,0,29,420,6309,9,repos\code-server\tsconfig.json,1,1,1,1,1,1,1,1
vite,https://github.com/vitejs/vite,7,182,3230,1394,640,56879,9020,not_found,0,0,0,0,0,0,0,0,488,4,2020-04-21T05:03:57Z,7c240a0d25bcba043fbf97bf0382b2da4f012aa0,1,152,2599,44172,7065,not_found,0,0,0,0,0,0,0,0
nest,https://github.com/nestjs/nest,0,866,3471,28,2442,50502,1106,repos\nest\tsconfig.json,0,0,0,0,0,0,0,0,99,7,2017-02-04T20:12:52Z,cc15ba727c564d53cbbd84ae24d386d25610481e,0,852,3428,49925,1106,repos\nest\tsconfig.json,0,0,0,0,0,0,0,0
playwright,https://github.com/microsoft/playwright,15,1327,21402,380,1118,385889,173938,not_found,0,0,0,0,0,0,0,0,137,5,2019-11-15T18:32:42Z,5f527fedb1f6893219b69d735b1a9cdd81ad1466,26,1148,18657,345026,165175,not_found,0,0,0,0,0,0,0,0
hoppscotch,https://github.com/hoppscotch/hoppscotch,3,153,3319,30,1230,75216,1314,not_found,0,0,0,0,0,0,0,0,56,5,2019-08-21T13:15:24Z,de725337d628d037e8597c02ef51be466bec3680,2,128,2434,54912,1591,not_found,0,0,0,0,0,0,0,0
supabase,https://github.com/supabase/supabase,220,1862,17640,294,2516,407427,31341,repos\supabase\tsconfig.json,0,0,0,0,0,0,0,0,17,5,2019-10-12T05:56:49Z,b1efca79be668beca68e25bbece3bb8c31ee6875,533,2325,12089,277025,33262,repos\supabase\tsconfig.json,0,0,0,0,0,0,0,0
superset,https://github.com/apache/superset,86,480,10585,424,1774,278194,54435,not_found,0,0,0,0,0,0,0,0,207,9,2015-07-21T18:55:34Z,90e210892ba5c076b47ab3007c7e027e9b405b6b,85,467,9530,266054,58666,not_found,0,0,0,0,0,0,0,0
socket.io,https://github.com/socketio/socket.io,128,211,828,362,318,58480,28750,not_found,0,0,0,0,0,0,0,0,72,14,2010-03-11T18:24:48Z,605de78d2cd7303bf25d9e2146e2b707dbf63d4f,22,23,181,8988,4601,repos\socket.io\tsconfig.json,0,0,0,0,0,0,0,0
strapi,https://github.com/strapi/strapi,5,1272,9188,1266,4042,298606,63931,not_found,0,0,0,0,0,0,0,0,422,9,2015-09-30T15:34:48Z,154796c0471c60d8c1710e5f8b100b6fa751d102,4,301,5230,245121,158155,not_found,0,0,0,0,0,0,0,0
redux,https://github.com/reduxjs/redux,0,28,117,238,76,7850,4206,repos\redux\tsconfig.json,0,0,0,0,0,0,0,0,78,9,2015-05-29T23:53:15Z,3d80cd25ebffed1ee184935089d2cfdb9e09d373,0,28,128,7731,4265,repos\redux\tsconfig.json,1,1,1,1,1,1,1,1
tabby,https://github.com/Eugeny/tabby,0,162,1586,2,552,26517,840,repos\tabby\tsconfig.json,0,1,0,0,0,0,0,0,190,8,2016-12-23T09:06:10Z,40246a409d5471322279121845c3ec4631fc90ca,0,164,1569,26216,840,repos\tabby\tsconfig.json,0,1,0,0,0,0,0,0
echarts,https://github.com/apache/echarts,159,429,8664,454,1148,450727,329012,repos\echarts\tsconfig.json,0,0,1,0,0,1,1,0,116,11,2013-04-03T03:18:59Z,71799e9a63c65f33e0657da2c9dc2deb13d4b8be,155,427,8629,478736,357930,repos\echarts\tsconfig.json,0,0,1,0,0,1,1,0
grafana,https://github.com/grafana/grafana,141,1443,28662,164,5008,628638,13936,repos\grafana\tsconfig.json,1,1,1,1,1,1,1,1,469,11,2013-12-11T15:59:56Z,375dcc3813f6e64d2b01a49c49ff02bacc7e4806,153,1982,24244,529477,13671,repos\grafana\tsconfig.json,1,1,1,1,1,1,1,1
docusaurus,https://github.com/facebook/docusaurus,1,7,5377,216,800,135870,69623,repos\docusaurus\tsconfig.base.json,1,1,1,1,1,1,1,1,145,7,2017-06-20T16:13:53Z,791da2e4a1a53aa6309887059e3f112fcb35bec4,0,9,5001,127871,69500,repos\docusaurus\tsconfig.json,1,1,1,1,1,1,1,1
nuxt,https://github.com/nuxt/nuxt,0,204,1565,10,806,29857,48,repos\nuxt\tsconfig.json,1,1,1,1,1,1,1,1,227,8,2016-10-26T11:18:47Z,56147b4a86bbefb61a918909ff9f1984584911e9,0,179,1197,23063,7,repos\nuxt\tsconfig.json,1,1,1,1,1,1,1,1
react-router,https://github.com/remix-run/react-router,6,107,1612,76,220,79551,2717,repos\react-router\tsconfig.json,0,0,0,0,0,0,0,0,279,10,2014-05-16T22:22:51Z,fe066bd4641a17142e73569b116c0236d8c9e1d7,7,103,1394,69569,2578,repos\react-router\tsconfig.json,0,0,0,0,0,0,0,0
immich,https://github.com/immich-app/immich,0,80,4783,20,1372,62373,430,not_found,0,0,0,0,0,0,0,0,213,2,2022-02-03T15:56:27Z,5e1c0fb465e918d802051a9c2f8f2a01bda6efc5,6,678,4417,69150,1257,not_found,0,0,0,0,0,0,0,0
dify,https://github.com/langgenius/dify,0,1263,20041,244,1390,239253,41282,not_found,0,0,0,0,0,0,0,0,104,1,2023-04-12T07:40:24Z,94d7babbf1fecd9c5453f0e9293a85f349772483,0,184,2666,55025,1168,not_found,0,0,0,0,0,0,0,0
ionic-framework,https://github.com/ionic-team/ionic-framework,8,737,5172,134,1836,123367,4780,repos\ionic-framework\tsconfig.json,1,1,1,1,0,1,1,1,886,11,2013-08-20T23:06:02Z,c1304b700492f21b07e3405499148636084dcea4,7,752,5088,116878,4693,repos\ionic-framework\tsconfig.json,1,1,1,1,0,1,1,1
nocodb,https://github.com/nocodb/nocodb,83,2020,8760,94,2052,244853,20713,not_found,0,0,0,0,0,0,0,0,150,7,2017-10-29T18:51:48Z,8eb128f09d4ca1bb8629ab6892ff62747264ee99,119,1867,6607,193614,20230,not_found,0,0,0,0,0,0,0,0
zustand,https://github.com/pmndrs/zustand,0,37,70,12,34,2037,637,not_found,0,0,0,0,0,0,0,0,89,5,2019-04-09T09:10:06Z,a836356b5e4062abde852af3ba5ee6fc3f1a41fe,0,35,80,2479,628,repos\zustand\tsconfig.json,1,1,1,1,1,1,1,1
core,https://github.com/vuejs/core,2,526,3680,62,572,64662,2722,repos\core\tsconfig.json,1,1,1,1,1,1,1,1,237,6,2018-06-12T13:49:36Z,2c0414fdca5339857098b1eeaf2c74541f1451e3,35,471,2989,56182,1768,repos\core\tsconfig.json,1,1,1,1,1,1,1,1
material-ui,https://github.com/mui/material-ui,100,535,9132,50276,3196,839923,556857,repos\material-ui\tsconfig.json,1,1,1,1,1,1,1,1,498,10,2014-08-18T19:11:54Z,17f4e04f25e0efb644403e1fb3e39f031dc6444f,114,511,9846,957760,693315,repos\material-ui\tsconfig.json,1,1,1,1,1,1,1,1
astro,https://github.com/withastro/astro,10,366,5345,386,1660,95626,8072,repos\astro\tsconfig.json,0,0,0,0,0,0,0,0,1000,3,2021-03-15T17:19:47Z,78b8b76eae8dd716467aa9e7f982bc690e870446,7,327,4388,71745,8243,repos\astro\tsconfig.json,0,0,0,0,0,0,0,0
n8n,https://github.com/n8n-io/n8n,173,563,28418,76,9200,800210,2583,repos\n8n\tsconfig.json,1,1,1,1,1,1,1,1,241,5,2019-06-22T09:24:21Z,0468ded0db0a7832250101ca2f908fcae5c8ca0c,210,549,24638,685171,1992,repos\n8n\tsconfig.json,1,1,1,1,1,1,1,1
joplin,https://github.com/laurent22/joplin,2,4007,14401,836,3882,296063,64854,repos\joplin\tsconfig.json,0,0,1,1,0,1,0,1,355,7,2017-01-16T21:49:41Z,1c104d2e83fb42aa6df573b3441ba24e05dec03d,0,4013,11595,253831,70907,repos\joplin\tsconfig.json,0,0,1,1,0,1,0,1
appwrite,https://github.com/appwrite/appwrite,0,12,1310,22,90,14516,275,not_found,0,0,0,0,0,0,0,0,102,5,2019-04-08T16:36:25Z,0c264a107a1eb95e972802bc57c1f22bb25383c5,0,12,1310,14516,275,not_found,0,0,0,0,0,0,0,0
jest,https://github.com/jestjs/jest,1,208,3903,1110,858,70297,11740,repos\jest\tsconfig.json,1,1,1,1,1,1,1,1,202,11,2013-12-10T00:18:04Z,d1a2ed7fea4bdc19836274cd810c8360e3ab62f3,1,191,3950,68971,11564,repos\jest\tsconfig.json,1,1,1,1,1,1,1,1
fuels-ts,https://github.com/FuelLabs/fuels-ts,2,35,2103,44,1384,48683,687,repos\fuels-ts\tsconfig.json,0,0,0,0,0,0,0,0,138,3,2021-09-03T18:11:03Z,0ee637757b67ed2559094c4e44d97deebbd9a98c,10,20,1236,28142,522,repos\fuels-ts\tsconfig.json,0,0,0,0,0,0,0,0
quill,https://github.com/slab/quill,0,17,607,22,160,12356,2453,repos\quill\tsconfig.json,0,1,0,0,0,1,0,0,94,12,2012-07-30T23:23:18Z,dc1ec26628e91c77098e5bbaa5f9d78d594ed31f,0,15,589,11256,2119,repos\quill\tsconfig.json,0,1,0,0,0,1,0,0
hyper,https://github.com/vercel/hyper,0,108,802,6,178,11362,32,repos\hyper\tsconfig.json,0,0,0,0,0,0,0,0,88,8,2016-07-01T06:01:21Z,334089823ab111b24b0a364f8d8db7ddbfc0e30d,0,108,802,11368,32,repos\hyper\tsconfig.json,0,0,0,0,0,0,0,0
pixijs,https://github.com/pixijs/pixijs,2,532,4748,10,1662,101415,1590,repos\pixijs\tsconfig.json,1,0,1,1,1,1,1,1,270,11,2013-01-21T22:40:50Z,5e1de48fbcf2324c731fdf68cde1059eed781671,2,166,3608,70360,1569,repos\pixijs\tsconfig.json,1,0,1,1,1,1,1,1
query,https://github.com/TanStack/query,1,95,1233,150,770,44962,2199,repos\query\tsconfig.json,1,1,1,1,1,1,1,1,960,5,2019-09-10T19:23:58Z,5b9be1e299257e32c4c294796711f5d82f968530,5,68,840,33959,7213,repos\query\tsconfig.json,1,1,1,1,1,1,1,1
react-use,https://github.com/streamich/react-use,1,57,420,2,258,9437,108,repos\react-use\tsconfig.json,1,1,1,1,1,0,1,1,255,6,2018-10-27T10:16:05Z,7a2fc183c9229dbebea029a922600a088f0dc71c,1,57,418,9430,108,repos\react-use\tsconfig.json,1,1,1,1,1,0,1,1
react-hook-form,https://github.com/react-hook-form/react-hook-form,0,20,797,32,302,22616,476,repos\react-hook-form\tsconfig.json,1,1,1,1,1,1,1,1,554,5,2019-03-05T23:47:10Z,8f80f4cf9e7664580289447b07e5c5be597b9328,0,21,750,22236,470,repos\react-hook-form\tsconfig.json,1,1,1,1,1,1,1,1
styled-components,https://github.com/styled-components/styled-components,0,33,350,162,122,7712,2371,not_found,0,0,0,0,0,0,0,0,170,8,2016-08-16T06:41:32Z,061677852e81b2e3b61930be63ad1b76d4652465,0,33,340,7531,2295,not_found,0,0,0,0,0,0,0,0
lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,0,113,2494,380,684,51269,20607,repos\lx-music-desktop\tsconfig.json,0,0,0,0,0,0,0,0,108,5,2019-08-14T14:31:08Z,182f08d221238efb6d21d3f29f6a0fc224f1cdef,0,109,2414,49318,20193,repos\lx-music-desktop\tsconfig.json,0,0,0,0,0,0,0,0
vuetify,https://github.com/vuetifyjs/vuetify,1,331,2320,68,730,65931,1957,not_found,0,0,0,0,0,0,0,0,567,8,2016-09-12T00:39:35Z,49093029ac4d28607433d98dcf5bdb917795fd51,0,359,2497,62020,2151,not_found,0,0,0,0,0,0,0,0
prisma,https://github.com/prisma/prisma,293,424,4850,194,3570,136817,2188,repos\prisma\tsconfig.json,0,0,0,0,0,0,0,0,199,5,2019-06-20T13:33:47Z,8fdb2bcb5b2944d9f4b6dd1a9efa20c88f0b5ab4,229,388,3869,116437,2374,repos\prisma\tsconfig.json,0,0,0,0,0,0,0,0
hexo,https://github.com/hexojs/hexo,91,214,921,2,538,30374,225,repos\hexo\tsconfig.json,0,0,0,0,0,0,0,0,114,12,2012-09-23T15:17:08Z,9ceff5e306e3cf1aa99142f466816ea74a8cbbc1,0,128,629,29466,20425,repos\hexo\tsconfig.json,0,0,0,0,0,0,0,0
chakra-ui,https://github.com/chakra-ui/chakra-ui,6,161,975,4,768,68321,14,repos\chakra-ui\tsconfig.json,0,0,0,0,0,0,0,0,1000,5,2019-08-17T14:27:54Z,b6befea762b44f923af42792473963215dc50ed1,4,268,1847,54964,1009,repos\chakra-ui\tsconfig.json,1,1,1,1,1,1,1,1
Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,3,1841,30822,458,9958,538399,30910,repos\Rocket.Chat\tsconfig.base.json,1,1,1,1,1,1,1,1,976,9,2015-05-19T07:36:09Z,e134eef8cb2487d3bf2c37fa132d6977dd4a65fb,10,1467,24793,442516,69968,repos\Rocket.Chat\tsconfig.base.json,1,1,1,1,1,1,1,1
babel,https://github.com/babel/babel,51,639,9542,32376,3070,338388,208466,repos\babel\tsconfig.json,0,0,0,0,0,0,0,0,416,10,2014-09-28T13:38:23Z,fdc025edc35884bb12dfc38387b62b25da25caba,29,482,9092,295184,175273,repos\babel\tsconfig.json,0,0,0,0,0,0,0,0
lerna,https://github.com/lerna/lerna,168,247,1121,126,776,25462,1650,repos\lerna\tsconfig.base.json,0,0,0,0,0,0,0,0,239,9,2015-12-04T09:36:55Z,cf0248a66beb533b74478c9750f624a042b5a741,178,177,924,23338,1795,repos\lerna\tsconfig.base.json,0,0,0,0,0,0,0,0
TypeScript,https://github.com/microsoft/TypeScript,137,24006,156886,33032,40740,3849980,2278149,repos\TypeScript\src\tsconfig.json,0,0,0,0,0,0,0,0,202,10,2014-06-17T15:28:39Z,7b96c28e8f755ef8ba3dff00714f3f02e4d5a268,135,22332,139053,3311026,1791129,repos\TypeScript\src\tsconfig.json,0,0,0,0,0,0,0,0
nativefier,https://github.com/nativefier/nativefier,0,1,702,6,92,7188,133,repos\nativefier\src\tsconfig.json,0,0,0,0,0,0,0,0,99,9,2015-07-05T05:56:42Z,9078a3071a3c7fab977d4e0bb54d3579af8296f3,0,1,702,7188,133,repos\nativefier\src\tsconfig.json,0,0,0,0,0,0,0,0
trpc,https://github.com/trpc/trpc,8,157,787,40,648,38286,1287,repos\trpc\tsconfig.json,0,0,0,0,0,0,0,0,200,4,2020-07-18T01:17:11Z,4fa201cc38d1157ce45349250e35504ff238537f,2,195,638,32418,1216,repos\trpc\tsconfig.json,0,0,0,0,0,0,0,0
tldraw,https://github.com/tldraw/tldraw,21,609,5351,44,1438,138556,1567,not_found,0,0,0,0,0,0,0,0,50,3,2021-05-09T11:48:37Z,ba4664d27979de97d054412e210356e82ee29b52,8,288,2854,78526,1601,not_found,0,0,0,0,0,0,0,0
date-fns,https://github.com/date-fns/date-fns,3,16,1316,34,2692,88786,466,repos\date-fns\tsconfig.json,1,1,1,1,1,1,1,1,122,10,2014-10-06T10:24:22Z,46a263c02743e8267e0229e8110e9ed9edcf0fa3,3,16,1316,88786,466,repos\date-fns\tsconfig.json,1,1,1,1,1,1,1,1
novu,https://github.com/novuhq/novu,2,463,6617,158,4102,151513,3023,repos\novu\tsconfig.json,0,0,0,0,0,0,0,0,37,3,2021-08-26T15:22:44Z,f91ecec66a791c38f59d7ce30ee45c5af92db50d,2,463,6617,151513,3023,repos\novu\tsconfig.json,0,0,0,0,0,0,0,0
typeorm,https://github.com/typeorm/typeorm,4,1224,11307,6,6310,263389,579,repos\typeorm\tsconfig.json,0,0,0,0,0,1,0,0,32,8,2016-02-29T07:41:14Z,d184d8598c057ce8fa54815e669b567238f3a86e,4,1212,11110,258812,571,repos\typeorm\tsconfig.json,0,1,0,0,0,1,0,0
formik,https://github.com/jaredpalmer/formik,5,158,334,74,32,10392,2542,repos\formik\tsconfig.json,0,0,0,0,0,0,0,0,196,7,2017-06-14T19:50:59Z,0f960aaeeb0bdbef8312b5107cd3374884a0e62b,5,159,334,10384,2542,repos\formik\tsconfig.json,0,0,0,0,0,0,0,0
zod,https://github.com/colinhacks/zod,0,288,650,4,102,14808,447,repos\zod\tsconfig.json,0,0,0,0,0,0,0,0,89,4,2020-03-07T20:59:08Z,481c9ba1932203777f6fe9497bb2a8a1d33c620e,0,286,594,13988,448,repos\zod\tsconfig.json,0,0,0,0,0,0,0,0
appsmith,https://github.com/appsmithorg/appsmith,0,0,0,0,0,0,0,not_found,0,0,0,0,0,0,0,0,251,4,2020-06-30T04:07:36Z,,0,0,0,0,0,not_found,0,0,0,0,0,0,0,0
immutable-js,https://github.com/immutable-js/immutable-js,0,18,1486,194,140,28421,8977,not_found,0,0,0,0,0,0,0,0,82,10,2014-07-02T06:02:29Z,2d152659d6fec8db285d1a67d1a811b18c5e2e32,7,77,1222,28928,8949,not_found,0,0,0,0,0,0,0,0
jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,0,8,195,4,64,7000,463,repos\jsoncrack.com\tsconfig.json,1,1,1,1,1,0,1,1,20,2,2022-01-30T15:25:18Z,bf9628ed7495d184d2262185cef253b8ae2438c2,0,16,220,7816,35,repos\jsoncrack.com\tsconfig.json,1,1,1,1,1,0,1,1
taro,https://github.com/NervJS/taro,0,0,0,0,0,0,0,not_found,0,0,0,0,0,0,0,0,184,6,2018-04-08T09:32:26Z,,0,0,0,0,0,not_found,0,0,0,0,0,0,0,0
solid,https://github.com/solidjs/solid,1,107,984,42,82,8389,838,repos\solid\tsconfig.json,1,1,1,1,1,1,1,1,35,6,2018-04-24T16:36:27Z,e7ea92989f96481b5dae529c0c9ca91902c7baa0,1,106,972,8255,838,repos\solid\tsconfig.json,1,1,1,1,1,1,1,1
spacedrive,https://github.com/spacedriveapp/spacedrive,5,172,3328,58,360,69180,1067,repos\spacedrive\tsconfig.json,0,0,0,0,0,0,0,0,25,3,2021-09-27T05:09:04Z,efbb4ef6893faa63e9ba28cfaafffe3592cb96fa,4,104,1845,47472,799,repos\spacedrive\tsconfig.json,0,0,0,0,0,0,0,0
Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,9,163,1728,4,822,40930,1866,not_found,0,0,0,0,0,0,0,0,31,1,2023-03-31T12:12:45Z,9588bcfa94c9ca72cdcd02bc741d636cca7f34ab,0,0,69,1791,1791,not_found,0,0,0,0,0,0,0,0
AgentGPT,https://github.com/reworkd/AgentGPT,1,0,444,14,116,8843,366,not_found,0,0,0,0,0,0,0,0,12,1,2023-04-07T02:29:19Z,5700f3da5fa9c26deb37310d809ec05175f4ed29,1,0,444,8866,366,not_found,0,0,0,0,0,0,0,0
cal.com,https://github.com/calcom/cal.com,74,243,17187,82,6138,342414,2610,not_found,0,0,0,0,0,0,0,0,316,3,2021-03-22T13:47:42Z,09fc7e1a4c336683d185337895544e914cead60b,33,111,8451,191185,1785,not_found,0,0,0,0,0,0,0,0
RSSHub,https://github.com/DIYgod/RSSHub,1,94,4807,1368,8432,307192,35093,repos\RSSHub\tsconfig.json,1,1,1,1,1,0,1,1,0,6,2018-04-02T14:43:21Z,4b1ae9b87122bc038714b12c1e061cc1a1ca3ea1,0,2,278,237493,237060,not_found,0,0,0,0,0,0,0,0
Flowise,https://github.com/FlowiseAI/Flowise,45,418,6257,106,1286,109919,38130,not_found,0,0,0,0,0,0,0,0,54,1,2023-03-31T12:23:09Z,964b5a263c2f9f1ec20a0333784c19c8681a40f9,7,106,2831,42643,15811,not_found,0,0,0,0,0,0,0,0
upscayl,https://github.com/upscayl/upscayl,0,16,232,10,100,6527,262,repos\upscayl\tsconfig.json,1,1,1,1,1,0,1,1,27,2,2022-07-30T17:19:20Z,10f9d58ac118c6e0d7581bf4a8f57f72993f2dc5,0,27,199,4214,130,repos\upscayl\tsconfig.json,1,1,1,1,1,0,1,1
rxjs,https://github.com/ReactiveX/rxjs,0,904,2132,202,1264,88005,4628,not_found,0,0,0,0,0,0,0,0,2,9,2015-03-15T06:17:10Z,e47129bd77a9b6f897550d3fcffb9d53e98b03a9,9,899,2100,87552,4316,not_found,0,0,0,0,0,0,0,0
portainer,https://github.com/portainer/portainer,2,3,6022,1132,2334,154340,37770,repos\portainer\tsconfig.json,1,1,1,1,1,1,1,1,126,8,2016-05-19T20:15:28Z,e73b7fe0fde28be9f2f84de910aa6c09a963f764,2,1,4296,130438,46780,repos\portainer\tsconfig.json,1,1,1,1,1,1,1,1
html2canvas,https://github.com/niklasvh/html2canvas,8,14,585,52,276,12894,2155,repos\html2canvas\tsconfig.json,0,1,0,0,1,1,1,0,45,13,2011-07-16T01:05:58Z,6020386bbeed60ad68e675fdcaa6220e292fd35a,8,14,585,12894,2155,repos\html2canvas\tsconfig.json,0,1,0,0,1,1,1,0
swr,https://github.com/vercel/swr,0,48,419,132,134,8197,1878,repos\swr\tsconfig.json,1,1,1,1,1,1,1,1,115,5,2019-10-28T18:16:01Z,41b061306e2ce8b64e2923b1594e8db525c9368a,0,49,410,7886,1783,repos\swr\tsconfig.json,1,1,1,1,1,1,1,1
expo,https://github.com/expo/expo,338,2113,35785,3556,8298,855887,432007,repos\expo\tsconfig.json,0,0,0,0,0,0,0,0,0,8,2016-08-15T17:14:25Z,31a498ae80e1092a1a508ad31a0ab1358466957f,346,1789,25753,441786,104508,repos\expo\tsconfig.json,0,0,0,0,0,0,0,0
floating-ui,https://github.com/floating-ui/floating-ui,4,64,894,106,266,31486,6777,not_found,0,0,0,0,0,0,0,0,456,8,2016-03-29T17:00:47Z,fba43a60e9c4121711cd4e0b36ac496c36185431,4,69,762,26349,5946,repos\floating-ui\tsconfig.json,1,1,1,1,1,1,1,1
plane,https://github.com/makeplane/plane,11,490,14451,52,2002,200454,5990,not_found,0,0,0,0,0,0,0,0,37,2,2022-11-19T12:55:01Z,a6567bbce42a79c1cd62d7e21c5d4936f0911dd8,13,1000,7561,118206,3138,not_found,0,0,0,0,0,0,0,0
remix,https://github.com/remix-run/remix,7,182,2486,200,762,90879,4244,not_found,0,0,0,0,0,0,0,0,150,4,2020-10-26T19:57:28Z,a12f636657f867b1df851ae85661c213924a69ac,8,125,1797,58545,3626,repos\remix\tsconfig.json,0,0,0,0,0,0,0,0
etcher,https://github.com/balena-io/etcher,8,89,457,4,114,11086,58,repos\etcher\tsconfig.json,1,1,1,1,1,1,1,1,283,9,2015-10-27T16:53:23Z,e96973595517b279a143cbd6502101621f304512,12,71,432,10248,98,repos\etcher\tsconfig.json,1,1,1,1,1,1,1,1
slate,https://github.com/ianstormtaylor/slate,3,113,531,84,336,50476,6053,repos\slate\tsconfig.json,0,0,0,0,0,0,0,0,182,8,2016-06-18T01:52:42Z,47498cf8eae1fa3abf8ddd90ddae2ce3a47a902e,3,112,487,45029,1607,repos\slate\tsconfig.json,0,0,0,0,0,0,0,0
sequelize,https://github.com/sequelize/sequelize,7,89,3120,74,654,62296,17740,repos\sequelize\tsconfig.json,0,0,0,0,0,0,0,0,482,14,2010-07-22T07:11:11Z,79af7ae8d16dca7612d4007626ebfc0294b69c7d,8,85,2671,54463,17831,repos\sequelize\tsconfig.json,0,0,0,0,0,0,0,0
pnpm,https://github.com/pnpm/pnpm,0,340,5976,118,1596,115022,611,not_found,0,0,0,0,0,0,0,0,952,8,2016-01-28T07:40:43Z,291607c5a0ff8f467876057f6f8c3cb2994544bb,0,405,5060,104958,644,not_found,0,0,0,0,0,0,0,0
