name,url,ts_ignore,any,specific_types,qty_js_files,qty_ts_files,TLOC,JS_LOC,tsconfig_path,strict,strictNullChecks,strictBindCallApply,strictFunctionTypes,strictPropertyInitialization,noImplicitAny,noImplicitThis,alwaysStrict,releases,age,created_at,prev_year_commit,prev_year_ts_ignore,prev_year_any,prev_year_specific_types,prev_year_TLOC,prev_year_JS_LOC,prev_year_tsconfig_path,prev_year_strict,prev_year_strictNullChecks,prev_year_strictBindCallApply,prev_year_strictFunctionTypes,prev_year_strictPropertyInitialization,prev_year_noImplicitAny,prev_year_noImplicitThis,prev_year_alwaysStrict
React95,https://github.com/react95-io/React95,3,3,288,4,164,12324,194,repos\React95\tsconfig.json,1,1,1,1,1,1,1,1,92,5,2019-02-18T22:55:25Z,871d5335daebdda1469f66f81266523f4191a595,3,3,288,12324,194,repos\React95\tsconfig.json,1,1,1,1,1,1,1,1
fiora,https://github.com/yinxin630/fiora,98,75,792,20,180,17108,542,repos\fiora\tsconfig.json,1,1,1,1,1,1,1,1,0,8,2016-02-15T14:47:58Z,d741c006c5a0a5b904dec742ac09dbc51bd7860d,98,75,792,17108,542,repos\fiora\tsconfig.json,1,1,1,1,1,1,1,1
nextjs-subscription-payments,https://github.com/vercel/nextjs-subscription-payments,2,2,116,4,54,3408,46,repos\nextjs-subscription-payments\tsconfig.json,1,1,1,1,1,1,1,1,0,4,2020-11-11T04:48:01Z,c7867b2d9e08d033056293d12aeb9825b8331806,1,3,211,1930,36,repos\nextjs-subscription-payments\tsconfig.json,1,1,1,1,1,1,1,1
react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,0,0,11,54,10,2868,488,repos\react-chartjs-2\tsconfig.json,1,1,1,1,1,1,1,1,66,8,2016-05-06T22:01:08Z,65b68c6cf177fb98636876af3b0b96ffcd0ce483,0,0,11,2868,488,repos\react-chartjs-2\tsconfig.json,1,1,1,1,1,1,1,1
tensorboard,https://github.com/tensorflow/tensorboard,10,597,6525,12,1844,188158,400,repos\tensorboard\tsconfig.json,1,1,1,1,1,1,1,1,63,7,2017-05-15T20:08:07Z,98a83803ee79ab3b67193507b530ea9467fe4419,10,608,6587,190230,400,repos\tensorboard\tsconfig.json,1,1,1,1,1,1,1,1
BlockNote,https://github.com/TypeCellOS/BlockNote,7,371,793,10,638,55235,1358,not_found,0,0,0,0,0,0,0,0,53,2,2022-03-02T07:24:48Z,61ed6e02812ec03ad6cdf0d971eea41c9e5eef6a,0,56,304,13839,32,not_found,0,0,0,0,0,0,0,0
react-gh-pages,https://github.com/gitname/react-gh-pages,0,0,0,0,6,64,0,repos\react-gh-pages\tsconfig.json,1,1,1,1,1,1,1,1,0,7,2017-06-12T23:46:29Z,71da6cbee187dc77cd0e5af71998321dcdf08864,0,0,0,64,0,repos\react-gh-pages\tsconfig.json,1,1,1,1,1,1,1,1
react-native-webview,https://github.com/react-native-webview/react-native-webview,0,2,367,20,16,5445,460,repos\react-native-webview\tsconfig.json,0,0,0,0,0,0,0,0,303,6,2018-09-09T00:14:44Z,fd61a320579fda6b57989a81460e03ec2d59a7ca,0,2,342,4673,646,repos\react-native-webview\tsconfig.json,1,1,1,1,1,1,1,1
yakit,https://github.com/yaklang/yakit,82,869,9996,172,672,252437,24977,not_found,0,0,0,0,0,0,0,0,206,3,2021-10-12T02:15:42Z,1525ea72c7e18abdaf97fd6aceaa81b831521f94,94,827,7037,179705,22419,not_found,0,0,0,0,0,0,0,0
star-history,https://github.com/star-history/star-history,0,12,160,6,72,2472,98,repos\star-history\tsconfig.json,1,1,1,1,1,0,1,1,0,9,2015-09-23T03:30:28Z,ed5e892bfababc7273f03c11878f26196ebb5667,0,12,156,2484,98,repos\star-history\tsconfig.json,1,1,1,1,1,0,1,1
typescript-book-chinese,https://github.com/jkchao/typescript-book-chinese,0,0,4,2,0,454,454,not_found,0,0,0,0,0,0,0,0,0,6,2018-08-07T07:24:05Z,f1e40c10e31be2f3599174dd22d95e4d3ab9cf55,0,0,4,454,454,not_found,0,0,0,0,0,0,0,0
windicss,https://github.com/windicss/windicss,0,8,1250,12,178,20622,486,repos\windicss\tsconfig.json,1,1,1,1,1,1,1,1,93,4,2020-12-29T07:17:33Z,671780a804db9b2dd46551c9f7820b6ff0fb88c9,0,8,1250,20622,486,repos\windicss\tsconfig.json,1,1,1,1,1,1,1,1
mockoon,https://github.com/mockoon/mockoon,0,219,1693,28,648,38995,617,repos\mockoon\tsconfig.json,1,1,1,1,0,0,1,1,51,7,2017-07-17T13:19:16Z,803c0fb685a07f6810e4d13935d187fc0e1f9ce3,0,166,1161,28817,1217,repos\mockoon\tsconfig.json,1,1,1,1,1,1,1,1
lightGallery,https://github.com/sachinchoolur/lightGallery,0,82,917,208,260,32830,18752,repos\lightGallery\tsconfig.json,1,1,1,1,1,1,1,1,119,10,2014-02-28T17:10:09Z,3596d22f5d3d200f7e62ef11309d7e59b9bbb944,0,83,781,30059,17390,repos\lightGallery\tsconfig.json,1,1,1,1,1,1,1,1
maplibre-gl-js,https://github.com/maplibre/maplibre-gl-js,1,387,4378,22,662,65024,422,repos\maplibre-gl-js\tsconfig.json,0,0,0,0,0,0,0,0,103,4,2020-12-08T22:42:56Z,ba72cb973840ce2482ccfba30c9f922ea937d75c,12,421,3439,54478,300,repos\maplibre-gl-js\tsconfig.json,0,0,0,0,0,0,0,0
react-native-ui-lib,https://github.com/wix/react-native-ui-lib,79,250,2407,244,396,72012,15058,repos\react-native-ui-lib\tsconfig.json,1,1,1,1,1,1,1,1,145,7,2017-02-08T09:55:18Z,332875dc9ecb404437a6ac88b3947686f1b94592,89,256,2329,68328,15679,repos\react-native-ui-lib\tsconfig.json,1,1,1,1,1,1,1,1
inertia,https://github.com/inertiajs/inertia,7,19,455,32,180,11293,4346,not_found,0,0,0,0,0,0,0,0,23,5,2019-03-06T18:43:43Z,0fc4b1c8b91639ed58b44fafe8833f2108496de6,0,4,302,5207,1037,not_found,0,0,0,0,0,0,0,0
usehooks-ts,https://github.com/juliencrn/usehooks-ts,2,3,235,26,164,7216,658,not_found,0,0,0,0,0,0,0,0,31,4,2020-04-15T22:53:26Z,8480d904dd857af2bd0cff4a19cb36fa5b44d18b,0,1,155,4227,197,not_found,0,0,0,0,0,0,0,0
react-native-device-info,https://github.com/react-native-device-info/react-native-device-info,2,7,62,28,18,3148,1024,repos\react-native-device-info\tsconfig.json,1,1,1,1,1,1,1,1,222,9,2015-09-16T14:06:22Z,afbbd7f9bc856b90cc37372e0810e8f6ee4cf9ce,2,4,62,3000,996,repos\react-native-device-info\tsconfig.json,1,1,1,1,1,1,1,1
chatgpt-advanced,https://github.com/interstellard/chatgpt-advanced,0,1,65,2,18,1729,15,repos\chatgpt-advanced\tsconfig.json,1,1,1,1,1,1,1,1,9,2,2022-12-03T10:47:53Z,677b76b5dba118f2aa11efc26c497138f1f62333,0,1,65,1729,15,repos\chatgpt-advanced\tsconfig.json,1,1,1,1,1,1,1,1
forge,https://github.com/electron/forge,0,82,804,80,442,17904,932,repos\forge\tsconfig.base.json,1,1,1,1,1,1,1,1,45,8,2016-10-05T14:51:53Z,fd00d9abf1dfc6b34deadfea62ea72d4589105c8,1,78,767,16769,863,repos\forge\tsconfig.base.json,1,1,1,1,1,1,1,1
bacon.js,https://github.com/baconjs/bacon.js,0,257,615,12,608,25881,9467,repos\bacon.js\tsconfig.json,1,1,1,1,1,1,1,1,0,12,2012-03-02T19:21:42Z,f737f52382ecba20cae2d1d4e423af23830dc1de,0,257,615,25834,9450,repos\bacon.js\tsconfig.json,1,1,1,1,1,1,1,1
ni,https://github.com/antfu-collective/ni,0,3,44,2,40,942,4,repos\ni\tsconfig.json,1,1,1,1,1,1,1,1,57,4,2020-11-05T07:56:23Z,c200dc2f0f171d97be454b9b0ba948e8a6c5f520,0,2,37,766,0,repos\ni\tsconfig.json,1,1,1,1,1,1,1,1
idb,https://github.com/jakearchibald/idb,0,21,176,4,24,4814,130,repos\idb\src\tsconfig.json,0,0,0,0,0,0,0,0,0,9,2015-08-06T15:02:03Z,30f75f901366147ed43520ecc58d1fdc3d25cbe2,0,24,180,4857,134,repos\idb\src\tsconfig.json,0,0,0,0,0,0,0,0
atproto,https://github.com/bluesky-social/atproto,524,226,18089,54,3904,226608,696,repos\atproto\tsconfig.json,0,0,0,0,0,0,0,0,643,3,2021-12-17T20:06:47Z,697f5d36270f05891167b81a98e4c55cef3c1210,225,133,8739,105876,867,repos\atproto\tsconfig.json,1,1,1,1,0,0,1,1
bases,https://github.com/tsconfig/bases,0,0,14,0,10,291,0,not_found,0,0,0,0,0,0,0,0,0,4,2020-05-13T17:22:41Z,6d8fe27677fd9e44b2a0088de294d92d9333bfd3,0,0,14,287,0,not_found,0,0,0,0,0,0,0,0
express-graphql,https://github.com/graphql/express-graphql,0,5,103,22,20,4359,725,repos\express-graphql\tsconfig.json,1,1,1,1,1,1,1,1,42,9,2015-08-04T23:29:53Z,3fab4b1e016cd27655f3b013f65a6b1344520d01,0,5,103,4359,725,repos\express-graphql\tsconfig.json,1,1,1,1,1,1,1,1
bs-core,https://github.com/zu1k/bs-core,0,7,134,0,22,3013,0,not_found,0,0,0,0,0,0,0,0,0,2,2022-11-24T06:10:29Z,098296440e76b868cf04f3f543e7fa4bbbeff6f2,0,7,134,3013,0,not_found,0,0,0,0,0,0,0,0
