request_number,response_time,response_size,language,per_page
478,0.21701788902282715,95,Java,99
479,0.25201416015625,95,JavaScript,14
480,0.22005772590637207,95,Kotlin,79
481,0.2164616584777832,95,C++,63
482,0.222930908203125,95,Python,95
483,0.22966289520263672,95,Python,61
484,0.2629518508911133,95,Kotlin,89
485,0.22490334510803223,95,Go,70
486,0.2226109504699707,95,Go,34
487,0.21883296966552734,95,C++,24
488,0.22644305229187012,95,JavaScript,86
489,0.23514604568481445,95,Python,51
490,0.2368907928466797,95,Kotlin,92
491,0.23963332176208496,95,Swift,31
492,0.21418094635009766,95,Java,66
493,0.3022122383117676,95,Go,25
494,0.23110008239746094,95,Kotlin,99
495,0.25047802925109863,95,Swift,4
496,0.24391436576843262,95,Python,87
497,0.21680307388305664,95,Swift,88
498,0.2546651363372803,95,Java,17
499,0.23163795471191406,95,C++,65
500,0.221696138381958,95,Kotlin,57
501,0.22085022926330566,95,Kotlin,21
502,0.2503790855407715,95,Kotlin,82
503,0.22912287712097168,95,Java,73
504,0.23317599296569824,95,Python,56
505,0.21515178680419922,95,Java,82
506,0.215317964553833,95,Kotlin,57
507,0.2228837013244629,95,Kotlin,55
508,0.22442293167114258,95,Swift,89
509,0.21572184562683105,95,Swift,45
510,0.21154499053955078,95,C++,61
511,0.22431588172912598,95,Swift,82
512,0.22062897682189941,95,C++,20
513,0.26585888862609863,95,Kotlin,88
514,0.25391101837158203,95,Python,37
515,0.3013601303100586,95,Kotlin,5
516,0.2372121810913086,95,Ruby,89
517,0.21865320205688477,95,Ruby,99
518,0.2181408405303955,95,C++,90
519,0.21847105026245117,95,Swift,75
520,0.2673802375793457,95,JavaScript,38
521,0.22036004066467285,95,Go,70
522,0.2752842903137207,95,JavaScript,62
523,0.22255611419677734,95,Python,35
524,0.22825074195861816,95,Go,39
525,0.21226286888122559,95,C++,22
526,0.21861815452575684,95,Ruby,89
527,0.22593903541564941,95,C++,99
528,0.21916699409484863,95,Python,91
529,0.23354101181030273,95,Ruby,57
530,0.22508716583251953,95,Java,23
531,0.2291090488433838,95,C++,64
532,0.21893978118896484,95,C++,64
533,0.3469398021697998,95,Python,35
534,0.21794819831848145,95,Java,99
535,0.21659278869628906,95,Java,31
536,0.23055005073547363,95,C++,85
537,0.2740919589996338,95,Go,72
538,0.24878382682800293,95,C++,90
539,0.215836763381958,95,C++,77
540,0.2658219337463379,95,Go,12
541,0.221329927444458,95,C++,61
542,0.21346426010131836,95,Ruby,67
543,0.22129511833190918,95,Ruby,69
544,0.27048397064208984,95,Swift,30
545,0.25347399711608887,95,C++,19
546,0.23778986930847168,95,Ruby,9
547,0.21986818313598633,95,Python,15
548,0.23015904426574707,95,Java,89
549,0.22191691398620605,95,Kotlin,37
550,0.235184907913208,95,Go,1
551,0.29024410247802734,95,Kotlin,85
552,0.21564197540283203,95,Go,95
553,0.32927608489990234,95,C++,73
554,0.29784703254699707,95,C++,99
555,0.24559688568115234,95,Ruby,61
556,0.2736811637878418,95,C++,70
557,0.2198038101196289,95,Kotlin,44
558,0.23822999000549316,95,Go,78
559,0.21505975723266602,95,Java,93
560,0.2315371036529541,95,JavaScript,91
561,0.20923113822937012,95,Swift,93
562,0.31557607650756836,95,Ruby,83
563,0.22412705421447754,95,Python,32
564,0.335284948348999,95,Kotlin,65
565,0.2371063232421875,95,Go,9
566,0.22521185874938965,95,Kotlin,92
567,0.22335100173950195,95,C++,83
568,0.21349573135375977,95,Python,28
569,0.22259187698364258,95,Java,80
570,0.21309185028076172,95,Ruby,27
571,0.3122220039367676,95,C++,42
572,0.2531309127807617,95,JavaScript,47
573,0.2798919677734375,95,Java,48
574,0.2215127944946289,95,C++,58
575,0.22330427169799805,95,JavaScript,24
576,0.2371530532836914,95,Go,74
577,0.21086692810058594,95,Swift,76
578,0.22759079933166504,95,JavaScript,83
579,0.2162787914276123,95,Kotlin,64
580,0.2525331974029541,95,Python,93
581,0.22671914100646973,95,Swift,53
582,0.2648921012878418,95,Go,30
583,0.23645496368408203,95,JavaScript,81
584,0.22077298164367676,95,Ruby,95
585,0.2232980728149414,95,C++,100
586,0.2192978858947754,95,C++,58
587,0.26439690589904785,95,Go,69
588,0.21256089210510254,95,Go,76
589,0.2855973243713379,95,Go,39
590,0.2232959270477295,95,Swift,16
591,0.2730729579925537,95,Python,29
592,0.23399806022644043,95,Python,36
593,0.22893428802490234,95,JavaScript,41
594,0.2486112117767334,95,Python,29
595,0.22005724906921387,95,Kotlin,24
596,0.2280879020690918,95,C++,36
597,0.22611212730407715,95,Swift,9
598,0.21197795867919922,95,JavaScript,78
599,0.2250969409942627,95,Kotlin,49
600,0.2320728302001953,95,C++,28
601,0.21260905265808105,95,Ruby,75
602,0.2611708641052246,95,Swift,85
603,0.22487878799438477,95,C++,85
604,0.2178959846496582,95,JavaScript,80
605,0.21419000625610352,95,Swift,76
606,0.2202918529510498,95,C++,80
607,0.2882659435272217,95,Java,26
608,0.22912001609802246,95,Swift,73
609,0.23545193672180176,95,Swift,11
610,0.22176218032836914,95,Python,10
611,0.26486825942993164,95,Kotlin,3
612,0.21575212478637695,95,Kotlin,80
613,0.2180008888244629,95,Kotlin,32
614,0.21847915649414062,95,JavaScript,98
615,0.22590208053588867,95,C++,73
616,0.22454595565795898,95,Kotlin,88
617,0.21725702285766602,95,Python,11
618,0.24058914184570312,95,Kotlin,86
619,0.22298789024353027,95,Go,99
620,0.2265791893005371,95,JavaScript,15
621,0.22951602935791016,95,JavaScript,99
622,0.22473621368408203,95,C++,68
623,0.21708989143371582,95,Python,44
624,0.22095489501953125,95,C++,89
625,0.23964285850524902,95,Kotlin,75
626,0.22435307502746582,95,C++,90
627,0.5752031803131104,95,Java,31
628,0.21450495719909668,95,Ruby,43
629,0.21897387504577637,95,Python,81
630,0.21920323371887207,95,Java,16
631,0.22431588172912598,95,Python,61
632,0.2214679718017578,95,Python,96
633,0.22473907470703125,95,Ruby,36
634,0.24596309661865234,95,Python,89
635,0.2254488468170166,95,Go,97
636,0.25151896476745605,95,Ruby,97
637,0.22053122520446777,95,Swift,66
638,0.30272412300109863,95,Kotlin,39
639,0.20535707473754883,95,Swift,80
640,0.21907901763916016,95,Swift,19
641,0.21776676177978516,95,Python,58
642,0.2288072109222412,95,Kotlin,31
643,0.2215731143951416,95,Ruby,8
644,0.21338391304016113,95,C++,93
645,0.23485493659973145,95,Ruby,9
646,0.23615503311157227,95,Swift,12
647,0.2294631004333496,95,JavaScript,7
648,1.9186618328094482,95,Swift,89
649,0.22198796272277832,95,Ruby,14
650,0.2295849323272705,95,Ruby,75
651,0.270658016204834,95,Go,11
652,0.22349309921264648,95,C++,74
653,0.2582981586456299,95,Python,76
654,0.2608833312988281,95,Java,18
655,0.2221829891204834,95,Java,28
656,0.583162784576416,95,Java,45
657,0.21656298637390137,95,Go,87
658,0.22544193267822266,95,Swift,41
659,0.21684789657592773,95,Ruby,80
660,0.22505998611450195,95,Kotlin,35
661,0.2189168930053711,95,Kotlin,43
662,0.2602851390838623,95,C++,59
663,0.22750186920166016,95,Ruby,90
664,0.2740657329559326,95,Kotlin,5
665,0.21337127685546875,95,Java,62
666,0.23697686195373535,95,Python,62
667,0.22051501274108887,95,Swift,15
668,0.2202162742614746,95,JavaScript,13
669,0.21880602836608887,95,Java,87
670,0.21869206428527832,95,JavaScript,78
671,0.21517205238342285,95,JavaScript,25
672,0.22860097885131836,95,C++,93
673,0.24392986297607422,95,Java,3
674,0.22708606719970703,95,JavaScript,80
675,0.22360491752624512,95,C++,63
676,0.21740198135375977,95,Java,39
677,0.21668791770935059,95,JavaScript,17
678,0.20783519744873047,95,Go,85
679,0.2167339324951172,95,JavaScript,56
680,0.24739480018615723,95,Kotlin,71
681,0.22049283981323242,95,Swift,38
682,0.2561490535736084,95,Swift,66
683,0.22667193412780762,95,Swift,40
684,0.36699891090393066,95,Go,30
685,0.21083593368530273,95,JavaScript,31
686,0.23584413528442383,95,C++,47
687,0.2272169589996338,95,Go,56
688,0.22362112998962402,95,Swift,51
689,0.2367720603942871,95,Java,62
690,0.22165298461914062,95,Go,51
691,0.2832911014556885,95,JavaScript,70
692,0.2153780460357666,95,Kotlin,24
693,0.2560100555419922,95,Ruby,57
694,0.2375349998474121,95,Ruby,72
695,0.2336111068725586,95,Go,18
696,0.23959612846374512,95,Swift,9
697,0.2132279872894287,95,Swift,81
698,0.21592998504638672,95,C++,52
699,0.22057175636291504,95,Go,77
700,0.27687501907348633,95,Python,3
701,0.23146700859069824,95,Go,64
702,0.2191610336303711,95,Ruby,98
703,0.2228388786315918,95,C++,75
704,0.2148280143737793,95,Python,66
705,0.2265176773071289,95,C++,86
706,0.22713708877563477,95,Swift,17
707,0.2155320644378662,95,Go,66
708,0.22589516639709473,95,Kotlin,24
709,0.3561229705810547,95,Go,12
710,0.9848628044128418,95,Ruby,86
711,0.23862504959106445,95,Python,36
712,3.2205650806427,95,Java,85
713,0.22011327743530273,95,Python,33
714,0.4209439754486084,95,JavaScript,55
715,0.22025084495544434,95,JavaScript,68
716,0.24050378799438477,95,Go,3
717,0.22487187385559082,95,Python,96
718,0.24244928359985352,95,Java,20
719,0.21854591369628906,95,Go,87
720,0.23560595512390137,95,Python,9
721,0.22152018547058105,95,Kotlin,2
722,0.2273881435394287,95,Python,99
723,0.26366496086120605,95,JavaScript,89
724,0.21633410453796387,95,Java,60
725,0.23462986946105957,95,Python,26
726,0.21670079231262207,95,Swift,23
727,0.2647669315338135,95,Kotlin,41
728,0.212691068649292,95,JavaScript,72
729,0.2254018783569336,95,JavaScript,63
730,0.23194003105163574,95,JavaScript,98
